airline,avail_seat_km_per_week,incidents_85_99,fatal_accidents_85_99,1985-99,incidents_00_14,fatal_accidents_00_14,2000-14
Aeromexico*,596871813,3,1,64,5,0,0
Air Canada,1865253802,2,0,0,2,0,0
Alaska Airlines*,965346773,5,0,0,5,1,88
American*,5228357340,21,5,101,17,3,416
Delta / Northwest*,6525658894,24,12,407,24,2,51
Hawaiian Airlines,493877795,0,0,0,1,0,0
Southwest Airlines,3276525770,1,0,0,8,0,0
United / Continental*,7139291291,19,8,319,14,2,109
US Airways / America West*,2455687887,16,7,224,11,2,23
Virgin Atlantic,1005248585,1,0,0,0,0,0
